# y,eta,chord,ellipse,schrenk,cl
1.465465,0.366366,1.361361,1.480890,1.421126,1.043900
1.461461,0.365365,1.362196,1.481516,1.421856,1.043797
1.457457,0.364364,1.363030,1.482141,1.422585,1.043693
1.453453,0.363363,1.363864,1.482763,1.423313,1.043589
1.449449,0.362362,1.364698,1.483383,1.424041,1.043484
1.445445,0.361361,1.365532,1.484002,1.424767,1.043379
1.441441,0.360360,1.366366,1.484618,1.425492,1.043272
1.437437,0.359359,1.367201,1.485233,1.426217,1.043166
1.433433,0.358358,1.368035,1.485845,1.426940,1.043058
1.429429,0.357357,1.368869,1.486456,1.427662,1.042950
1.425425,0.356356,1.369703,1.487064,1.428384,1.042842
1.421421,0.355355,1.370537,1.487671,1.429104,1.042733
1.417417,0.354354,1.371371,1.488276,1.429824,1.042623
1.413413,0.353353,1.372206,1.488878,1.430542,1.042513
1.409409,0.352352,1.373040,1.489479,1.431259,1.042402
1.405405,0.351351,1.373874,1.490078,1.431976,1.042291
1.401401,0.350350,1.374708,1.490675,1.432692,1.042179
1.397397,0.349349,1.375542,1.491270,1.433406,1.042066
1.393393,0.348348,1.376376,1.491863,1.434120,1.041953
1.389389,0.347347,1.377211,1.492454,1.434832,1.041839
1.385385,0.346346,1.378045,1.493043,1.435544,1.041725
1.381381,0.345345,1.378879,1.493630,1.436255,1.041610
1.377377,0.344344,1.379713,1.494216,1.436964,1.041495
1.373373,0.343343,1.380547,1.494799,1.437673,1.041379
1.369369,0.342342,1.381381,1.495381,1.438381,1.041263
1.365365,0.341341,1.382216,1.495960,1.439088,1.041146
1.361361,0.340340,1.383050,1.496538,1.439794,1.041028
1.357357,0.339339,1.383884,1.497113,1.440499,1.040910
1.353353,0.338338,1.384718,1.497687,1.441203,1.040791
1.349349,0.337337,1.385552,1.498259,1.441906,1.040672
1.345345,0.336336,1.386386,1.498829,1.442608,1.040552
1.341341,0.335335,1.387221,1.499397,1.443309,1.040432
1.337337,0.334334,1.388055,1.499963,1.444009,1.040311
1.333333,0.333333,1.388889,1.500527,1.444708,1.040190
1.329329,0.332332,1.389723,1.501090,1.445406,1.040068
1.325325,0.331331,1.390557,1.501650,1.446104,1.039945
1.321321,0.330330,1.391391,1.502208,1.446800,1.039822
1.317317,0.329329,1.392226,1.502765,1.447495,1.039699
1.313313,0.328328,1.393060,1.503320,1.448190,1.039575
1.309309,0.327327,1.393894,1.503873,1.448883,1.039450
1.305305,0.326326,1.394728,1.504424,1.449576,1.039325
1.301301,0.325325,1.395562,1.504973,1.450267,1.039199
1.297297,0.324324,1.396396,1.505520,1.450958,1.039073
1.293293,0.323323,1.397231,1.506065,1.451648,1.038946
1.289289,0.322322,1.398065,1.506608,1.452337,1.038819
1.285285,0.321321,1.398899,1.507150,1.453024,1.038692
1.281281,0.320320,1.399733,1.507690,1.453711,1.038563
1.277277,0.319319,1.400567,1.508227,1.454397,1.038434
1.273273,0.318318,1.401401,1.508763,1.455082,1.038305
1.269269,0.317317,1.402236,1.509297,1.455766,1.038175
1.265265,0.316316,1.403070,1.509829,1.456450,1.038045
1.261261,0.315315,1.403904,1.510360,1.457132,1.037914
1.257257,0.314314,1.404738,1.510888,1.457813,1.037783
1.253253,0.313313,1.405572,1.511415,1.458493,1.037651
1.249249,0.312312,1.406406,1.511939,1.459173,1.037519
1.245245,0.311311,1.407241,1.512462,1.459851,1.037386
1.241241,0.310310,1.408075,1.512983,1.460529,1.037252
1.237237,0.309309,1.408909,1.513502,1.461206,1.037119
1.233233,0.308308,1.409743,1.514019,1.461881,1.036984
1.229229,0.307307,1.410577,1.514535,1.462556,1.036849
1.225225,0.306306,1.411411,1.515048,1.463230,1.036714
1.221221,0.305305,1.412246,1.515560,1.463903,1.036578
1.217217,0.304304,1.413080,1.516070,1.464575,1.036442
1.213213,0.303303,1.413914,1.516578,1.465246,1.036305
1.209209,0.302302,1.414748,1.517084,1.465916,1.036168
1.205205,0.301301,1.415582,1.517589,1.466585,1.036030
1.201201,0.300300,1.416416,1.518091,1.467254,1.035891
1.197197,0.299299,1.417251,1.518592,1.467921,1.035753
1.193193,0.298298,1.418085,1.519090,1.468588,1.035613
1.189189,0.297297,1.418919,1.519587,1.469253,1.035474
1.185185,0.296296,1.419753,1.520083,1.469918,1.035333
1.181181,0.295295,1.420587,1.520576,1.470582,1.035193
1.177177,0.294294,1.421421,1.521067,1.471244,1.035052
1.173173,0.293293,1.422256,1.521557,1.471906,1.034910
1.169169,0.292292,1.423090,1.522045,1.472567,1.034768
1.165165,0.291291,1.423924,1.522531,1.473227,1.034625
1.161161,0.290290,1.424758,1.523015,1.473887,1.034482
1.157157,0.289289,1.425592,1.523498,1.474545,1.034338
1.153153,0.288288,1.426426,1.523978,1.475202,1.034194
1.149149,0.287287,1.427261,1.524457,1.475859,1.034050
1.145145,0.286286,1.428095,1.524934,1.476514,1.033905
1.141141,0.285285,1.428929,1.525409,1.477169,1.033760
1.137137,0.284284,1.429763,1.525882,1.477823,1.033614
1.133133,0.283283,1.430597,1.526354,1.478475,1.033467
1.129129,0.282282,1.431431,1.526823,1.479127,1.033320
1.125125,0.281281,1.432266,1.527291,1.479778,1.033173
1.121121,0.280280,1.433100,1.527757,1.480429,1.033025
1.117117,0.279279,1.433934,1.528222,1.481078,1.032877
1.113113,0.278278,1.434768,1.528684,1.481726,1.032729
1.109109,0.277277,1.435602,1.529145,1.482373,1.032580
1.105105,0.276276,1.436436,1.529604,1.483020,1.032430
1.101101,0.275275,1.437271,1.530061,1.483666,1.032280
1.097097,0.274274,1.438105,1.530516,1.484310,1.032129
1.093093,0.273273,1.438939,1.530969,1.484954,1.031979
1.089089,0.272272,1.439773,1.531421,1.485597,1.031827
1.085085,0.271271,1.440607,1.531871,1.486239,1.031675
1.081081,0.270270,1.441441,1.532319,1.486880,1.031523
1.077077,0.269269,1.442276,1.532765,1.487521,1.031371
1.073073,0.268268,1.443110,1.533210,1.488160,1.031217
1.069069,0.267267,1.443944,1.533653,1.488798,1.031064
1.065065,0.266266,1.444778,1.534094,1.489436,1.030910
1.061061,0.265265,1.445612,1.534533,1.490073,1.030755
1.057057,0.264264,1.446446,1.534970,1.490708,1.030600
1.053053,0.263263,1.447281,1.535406,1.491343,1.030445
1.049049,0.262262,1.448115,1.535840,1.491977,1.030289
1.045045,0.261261,1.448949,1.536272,1.492610,1.030133
1.041041,0.260260,1.449783,1.536702,1.493243,1.029977
1.037037,0.259259,1.450617,1.537131,1.493874,1.029820
1.033033,0.258258,1.451451,1.537558,1.494505,1.029662
1.029029,0.257257,1.452286,1.537983,1.495134,1.029504
1.025025,0.256256,1.453120,1.538406,1.495763,1.029346
1.021021,0.255255,1.453954,1.538827,1.496391,1.029187
1.017017,0.254254,1.454788,1.539247,1.497018,1.029028
1.013013,0.253253,1.455622,1.539665,1.497644,1.028868
1.009009,0.252252,1.456456,1.540081,1.498269,1.028708
1.005005,0.251251,1.457291,1.540496,1.498893,1.028548
1.001001,0.250250,1.458125,1.540908,1.499517,1.028387
0.996997,0.249249,1.458959,1.541319,1.500139,1.028226
0.992993,0.248248,1.459793,1.541728,1.500761,1.028064
0.988989,0.247247,1.460627,1.542136,1.501381,1.027902
0.984985,0.246246,1.461461,1.542541,1.502001,1.027739
0.980981,0.245245,1.462296,1.542945,1.502620,1.027576
0.976977,0.244244,1.463130,1.543347,1.503239,1.027413
0.972973,0.243243,1.463964,1.543748,1.503856,1.027249
0.968969,0.242242,1.464798,1.544146,1.504472,1.027085
0.964965,0.241241,1.465632,1.544543,1.505088,1.026920
0.960961,0.240240,1.466466,1.544938,1.505702,1.026755
0.956957,0.239239,1.467301,1.545332,1.506316,1.026590
0.952953,0.238238,1.468135,1.545724,1.506929,1.026424
0.948949,0.237237,1.468969,1.546113,1.507541,1.026258
0.944945,0.236236,1.469803,1.546502,1.508152,1.026091
0.940941,0.235235,1.470637,1.546888,1.508763,1.025924
0.936937,0.234234,1.471471,1.547273,1.509372,1.025757
0.932933,0.233233,1.472306,1.547656,1.509981,1.025589
0.928929,0.232232,1.473140,1.548037,1.510588,1.025421
0.924925,0.231231,1.473974,1.548417,1.511195,1.025252
0.920921,0.230230,1.474808,1.548794,1.511801,1.025083
0.916917,0.229229,1.475642,1.549170,1.512406,1.024914
0.912913,0.228228,1.476476,1.549545,1.513011,1.024744
0.908909,0.227227,1.477311,1.549917,1.513614,1.024574
0.904905,0.226226,1.478145,1.550288,1.514216,1.024403
0.900901,0.225225,1.478979,1.550657,1.514818,1.024232
0.896897,0.224224,1.479813,1.551025,1.515419,1.024061
0.892893,0.223223,1.480647,1.551390,1.516019,1.023889
0.888889,0.222222,1.481481,1.551754,1.516618,1.023717
0.884885,0.221221,1.482316,1.552117,1.517216,1.023545
0.880881,0.220220,1.483150,1.552477,1.517813,1.023372
0.876877,0.219219,1.483984,1.552836,1.518410,1.023198
0.872873,0.218218,1.484818,1.553193,1.519006,1.023025
0.868869,0.217217,1.485652,1.553548,1.519600,1.022851
0.864865,0.216216,1.486486,1.553902,1.520194,1.022676
0.860861,0.215215,1.487321,1.554254,1.520787,1.022501
0.856857,0.214214,1.488155,1.554604,1.521380,1.022326
0.852853,0.213213,1.488989,1.554953,1.521971,1.022151
0.848849,0.212212,1.489823,1.555300,1.522561,1.021975
0.844845,0.211211,1.490657,1.555645,1.523151,1.021798
0.840841,0.210210,1.491491,1.555988,1.523740,1.021622
0.836837,0.209209,1.492326,1.556330,1.524328,1.021444
0.832833,0.208208,1.493160,1.556670,1.524915,1.021267
0.828829,0.207207,1.493994,1.557008,1.525501,1.021089
0.824825,0.206206,1.494828,1.557345,1.526086,1.020911
0.820821,0.205205,1.495662,1.557680,1.526671,1.020732
0.816817,0.204204,1.496496,1.558013,1.527255,1.020553
0.812813,0.203203,1.497331,1.558344,1.527837,1.020374
0.808809,0.202202,1.498165,1.558674,1.528419,1.020194
0.804805,0.201201,1.498999,1.559002,1.529001,1.020014
0.800801,0.200200,1.499833,1.559329,1.529581,1.019834
0.796797,0.199199,1.500667,1.559653,1.530160,1.019653
0.792793,0.198198,1.501502,1.559976,1.530739,1.019472
0.788789,0.197197,1.502336,1.560298,1.531317,1.019291
0.784785,0.196196,1.503170,1.560617,1.531893,1.019109
0.780781,0.195195,1.504004,1.560935,1.532470,1.018926
0.776777,0.194194,1.504838,1.561251,1.533045,1.018744
0.772773,0.193193,1.505672,1.561566,1.533619,1.018561
0.768769,0.192192,1.506507,1.561879,1.534193,1.018378
0.764765,0.191191,1.507341,1.562190,1.534765,1.018194
